Account,Date,total_trades,avg_trade_size,total_PnL,avg_PnL,win_trades,loss_trades,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,5089.718248587571,0.0,0.0,0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,7976.664411764705,0.0,0.0,0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,23734.5,0.0,0.0,0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,28186.666666666668,-21227.0,-1768.9166666666667,0,12,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,17248.14814814815,1603.1,59.37407407407407,12,0,0.4444444444444444
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,16058.536341463414,-132271.0,-1613.060975609756,0,82,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,48561.68565217392,0.0,0.0,0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,36736.36242424243,-175611.00005600002,-5321.545456242425,0,33,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,11410.954021505377,71393.964098,153.53540666236557,23,89,0.04946236559139785
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,9400.588039215687,40218.599998,788.5999999607843,28,0,0.5490196078431373
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,185847.0,76710.0,7671.0,9,0,0.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,23593.019856972587,101011.685664,120.39533452205006,256,115,0.30512514898688914
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,10576.687156308852,375620.270243,707.3828064839925,83,28,0.15630885122410546
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,26585.06338095238,44400.9058,211.43288476190477,78,0,0.37142857142857144
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,10161.056241134751,30897.0887,219.12828865248227,132,0,0.9361702127659575
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,32032.5,55086.0,1147.625,16,0,0.3333333333333333
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,134600.00166666668,0.0,0.0,0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,27178.041694915253,10152.12224,172.06986847457628,31,0,0.5254237288135594
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,13233.776894977169,115445.395538,527.1479248310502,93,0,0.4246575342465753
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,24958.908545454546,115287.0,2096.1272727272726,1,0,0.01818181818181818
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,2985.797555555556,9482.221441,210.7160320222222,36,0,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,8371.136099843994,533974.662903,833.0337954804993,540,0,0.8424336973478939
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,79640.0,40200.0,8040.0,4,0,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,21491.640322580646,307855.80341,9930.832368064515,31,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,2469.9509090909087,11715.94323,213.01714963636365,46,0,0.8363636363636363
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,1,0.06,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,1426.8700000000001,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,26,2001.101153846154,3515.031065,135.1935025,25,0,0.9615384615384616
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,1131.888695652174,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,64,852.88625,2517.787385,39.340427890625,63,0,0.984375
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1913.523898305085,1613.165903,27.341794966101695,15,0,0.2542372881355932
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,0.11,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,10051.199411764705,1245.51851,36.63289735294118,21,0,0.6176470588235294
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,2845.9646153846156,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,2440.6282352941175,4493.232479,264.30779288235294,17,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,2154.3915384615384,1047.030992,26.84694851282051,28,0,0.717948717948718
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,2194.294758064516,4842.054317,39.04882513709678,80,0,0.6451612903225806
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,1737.369557522124,1693.493165,4.99555505899705,198,0,0.584070796460177
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,2398.331666666667,4221.156399,78.16956294444445,4,0,0.07407407407407407
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,1519.465681818182,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,1317.0667857142857,6899.2458320000005,123.20081842857144,56,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,1602.9452173913044,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,1474.6896363636365,7372.485101,134.04518365454547,55,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,78,2094.719358974359,1162.002541,14.897468474358975,25,0,0.32051282051282054
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,516,2797.8333333333335,6352.452613,12.31095467635659,233,13,0.45155038759689925
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,124,612.1092741935485,-12346.990829,-99.57250668548387,0,124,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,159,2687.4032704402516,355.5854,2.2363861635220124,127,0,0.7987421383647799
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,160,1641.2224999999999,1129.8489260000001,7.061555787500001,52,0,0.325
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,1,82910.81,-6820.76955,-6820.76955,0,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,52,1462.824423076923,0.0,0.0,0,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,1999.099181818182,2480.902379,22.55365799090909,50,0,0.45454545454545453
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,65,1756.5103076923076,-3169.3554679999997,-48.759314892307685,0,10,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,37,1499.4978378378378,0.0,0.0,0,0,0.0
